DS_TEST_ID,TestDescription
13,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Click on ""CREDIT CARDS"" linkCredit card page should be displayed with only ""ADD CREDIT CARD"" buttonClick on ""ADD CREDIT CARD"" button""CREDIT CARD INFO"" page should be displayedEnter MASTER CARD credit card details in the below fields: Card Number  (5555444444444444) Expiration Date Security CodeMASTER CARD card details should be entered successfullyVerify ""Add new address"" is selected by default.""Add new address"" should be selected by default and all the billing address  fields should be empty and in editable modeSelect the saved address displayed in ""Address"" drop down listAll attributes of the selected address should be auto populated in  non-editable modeClick on ""SAVE THIS CREDIT CARD""Credit card should be added successfully and user should be navigate to ""My  Account: Credit Cards"" pageVerify the saved credit card details displayed in ""My Account: Credit  Cards"" pageFollowing details should be displayed for saved credit card in ""My Account:  Credit Cards"" page:     * Default selection - radio button     * Card Type - VISA or Master Card or DISCOVER or AMEX Card     * Holder Name     * Billing Address     * Phone Number     * Edit/Delete - Link Note :- In Lee, Card Holder name would not be displayed in devices. It's a  won't fix issue (Refer to defect VFDP-14776)."
14,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Click on ""CREDIT CARDS"" linkCredit card page should be displayed with saved credit card details and  ""ADD CREDIT CARD"" buttonClick on ""Edit"" link of saved credit card""CREDIT CARD INFO"" page should be displayedVerify the fields in credit card detailsCredit card details should display below fields:     * Card Number - non editable      * Expiration Date - Month - editable      * Expiration Date - Year - editable      * Security Code - editableVerify the fields in billing address detailsBilling address details should display below fields:     * Add new address - editable     * First Name - non editable     * Last Name - non editable     * Street Address - non editable     * Apartment/Unit/Suite - non editable     * Zip Code - non editable     * City - non editable     * State - non editable     * Country - non editable     * Email - non editable     * Phone -non editableVerify the buttons and links in ""CREDIT CARD INFO"" page""CREDIT CARD INFO"" page should be displayed below links and buttons:     * SAVE THIS CREDIT CARD - Button     * CANCEL - Link     * Back To Top - LinkModify the expiration dateExpiration date should be updated successfullySelect ""Add new address"" from the drop down list in billing address sectionAll the address attributes should be in blankEnter all the mandatory fields in the billing address section and click on  ""SAVE THIS CREDIT CARD"" buttonCredit card details should be saved and ""My Account: Credit Cards"" page  should be displayed"
15,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""My Accounts: Profile""Click on ""CREDIT CARDS"" linkCredit card page should be displayed with saved credit card details and  ""ADD CREDIT CARD"" buttonClick on ""Delete"" link of saved credit cardCredit card should be deleted and confirmation message ""Credit Card  Information Deleted Successfully"" should be displayed"
16,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:  BILLING ADDRESSES SHIPPING ADDRESSESClick on the button ""ADD BILLING ADDRESS""The page should be displayed with the below fields:     * First Name - Text box     * Last Name - Text box     * Street Address - Text box     * Apartment/Unit/Suite - Text box(Optional)     * Zip code - Text box     * City - Text box     * State - Drop down     * Country - Drop down     * Email - Text box     * Phone - Text boxVerify the buttons and links in the pageThe page should be displayed with the below mentioned button and links:     * Back to Address Book - Link     * SAVE THIS ADDRESS - Button     * CANCEL - ButtonVerify the ""Country"" and ""Email"" fieldsThe country field should be displayed with the value ""United States"" by  default The email field should be displayed with the customer's registered  email address by defaultClick on the ""First Name"" text box and then without entering any value in  first name click on ""Last Name"" text boxError message ""This field is required."" should be displayedSimilarly click on all the text box and do not enter any value.Error message ""This field is required."" should be displayedEnter the values in the fields: First Name Last NameThe entered values should be displayed along with the green tick markEnter the valid values in the fields: Street Address Zip CodeThe State and City value should be automatically populated based on the zip  code enteredRemove the valid Zip code and enter Zip code in invalid formatThe error message should be displayed as below: ""Please match the requested  format: Zip Code (99999 or 99999-9999).""Enter phone number with special characters in ""Phone""The error message should be displayed as below: ""Please match the requested  format: Enter phone number with no spaces or special characters.""Click on ""CANCEL"" linkThe entered address should not be saved and the ""ADDRESS BOOK"" page should  be displayed"
17,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK"" and Click on the button ""ADD BILLING  ADDRESS""The fields should be displayed to enter the billing address detailsVerify the placeholder text is displayed in billing form Placeholder text should be displayed inside all fields in Billing formEnter valid value in the required below mentioned fields:     * First Name - Text box     * Last Name - Text box     * Street Address - Text box     * Apartment/Unit/Suite - Text box(Optional)     * Zip code - Text box     * City - Text box     * State - Drop down     * Country - Drop down     * Email - Text box     * Phone - Text boxThe valid billing address should be enteredVerify whether the green tick mark is displayed along with all the field  value.The green tick mark should be displayedClick on ""SAVE THIS ADDRESS"" buttonThe address should be saved and the message ""Address Saved"" should be  displayedVerify the ""Billing Addresses"" section for the save addressBilling address section should display below attributes:     * Default option - radio button      * Name (First name Last name)     * Address      * Phone Number      * Edit/Delete - link"
18,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:     * BILLING ADDRESSES      * SHIPPING ADDRESSESAdd the billing address by clicking the button ""ADD BILLING ADDRESS""The address should be displayed under the ""BILLING ADDRESSES"" sectionAdd multiple billing address by clicking the button ""ADD BILLING ADDRESS""The multiple addresses should be displayed under the ""BILLING ADDRESSES""  sectionVerify whether the default billing and shipping address is listed first in  Address book  Note: Test step added due to story VFDP-23744Default billing and shipping address must be listed first in Address bookVerify whether the radio button is displayed along with each billing  address displayedThe radio button should be displayed for each billing addressVerify whether the ""Edit/Delete"" links are displayed along with each  billing address displayedThe ""Edit/Delete"" links should be displayed for each billing addressSelect the radio button against other addressAddress should be selected as default address and the message ""Address  Saved"" should be displayed"
19,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:     * BILLING ADDRESSES      * SHIPPING ADDRESSESClick on the ""Edit"" link of an address displayed under ""BILLING ADDRESS""  sectionEdit billing address page should be displayed with below attributes:     * Back to Address Book - link     * First Name - Text box     * Last Name - Text box     * Street Address - Text box     * Apartment/Unit/Suite - Text box(Optional)     * Zip code - Text box     * City - Text box     * State - Drop down     * Country - Drop down     * Email - Text box     * Phone - Text box     * SAVE THIS ADDRESS - button     * CANCEL - linkVerify the placeholder text is displayed in billing form Placeholder text should be displayed inside all fields in Billing formClick on ""Back to Address Book"" linkThe modified billing address should not be reflected under ""BILLING  ADDRESSES"" sectionClick on the ""Edit"" link of an address displayed under ""BILLING ADDRESS""  sectionEdit billing address page should be displayedModify any fields of the billing address(Ex: Street address) and click on  ""SAVE THIS ADDRESS"" buttonThe green tick mark should be displayed for all the fields and the address  should be savedVerify whether the modified address is displayedThe modified billing address should be reflected under ""BILLING ADDRESSES""  section"
20,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:     * BILLING ADDRESSES     * SHIPPING ADDRESSESClick on the ""Delete"" link of an address displayed under ""BILLING ADDRESS""  sectionThe address should be deleted from the ""BILLING ADDRESSES"" section and the  message ""Address Deleted"" should be displayed"
21,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:  BILLING ADDRESSES SHIPPING ADDRESSESClick on the button ""ADD SHIPPING ADDRESS""The page should be displayed with the below fields:     * First Name - Text box     * Last Name - Text box     * Street Address - Text box     * Apartment/Unit/Suite - Text box(Optional)     * Zip code - Text box     * City - Text box     * State - Drop down     * Phone - Text boxVerify the buttons and links in the pageThe page should be displayed with the below mentioned button and links:  -Back to Address Book - Link -SAVE THIS ADDRESS - Button -CANCEL - LinkClick on the ""First Name"" text box and then without entering any value in  first name click on ""Last Name"" text boxError message ""This field is required."" should be displayedSimilarly click on all the text box and do not enter any value.Error message ""This field is required."" should be displayedEnter the values in the fields: First Name Last NameThe entered values should be displayed along with the green tick markEnter the valid values in the fields:     * Street Address      * Zip CodeThe State and City value should be automatically populated based on the zip  code enteredRemove the valid Zip code and enter Zip code in invalid formatThe error message should be displayed as below: ""Please match the requested  format: Zip Code (99999 or 99999-9999).""Enter phone number with special characters in ""Phone""The error message should be displayed as below: ""Please match the requested  format: Enter phone number with no spaces or special characters.""Click on ""CANCEL"" linkThe entered address should not be saved and the ""ADDRESS BOOK"" page should  be displayed"
22,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK"" and Click on the button ""ADD SHIPPING  ADDRESS""The fields should be displayed to enter the shipping address detailsVerify the placeholder text is displayed in shipping formPlaceholder text should be displayed inside all fields in Shipping formEnter valid value in the required below mentioned fields:     * First Name - Text box     * Last Name - Text box     * Street Address - Text box     * Apartment/Unit/Suite - Text box(Optional)     * Zip code - Text box     * City - Text box     * State - Drop down     * Phone - Text boxThe valid shipping address should be enteredVerify whether the green tick mark is displayed along with all the field  value.The green tick mark should be displayedClick on ""SAVE THIS ADDRESS"" buttonThe address should be saved and the message ""Address Saved"" should be  displayedVerify the ""SHIPPING ADDRESSES"" section.Shipping address section should display below attributes:     * Default option - radio button     * Name (First name Last name)     * Address Phone Number     * Edit/Delete - link"
23,"Connect to the ""LEE"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:     * BILLING ADDRESSES      * SHIPPING ADDRESSESAdd multiple shipping addresses by clicking the button ""ADD SHIPPING  ADDRESS""The multiple addresses should be added and displayed under the ""SHIPPING  ADDRESSES"" sectionVerify whether the radio button is displayed along with each shipping  address displayedThe radio button should be displayed for each shipping addressSelect the radio button against other addressThe address should be selected as default shipping address and ""Address  Saved"" message should be displayed"
24,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:     * BILLING ADDRESSES     * SHIPPING ADDRESSESClick on the ""Edit"" link of address under shipping address sectionEdit shipping address page should be displayedVerify the placeholder text is displayed in shipping formPlaceholder text should be displayed inside all fields in Shipping formModify any fields of the billing address(Ex: Street address)The address fields should be editedClick on ""Back to Address Book"" linkThe modified shipping address should not be reflected under ""SHIPPING  ADDRESSES"" sectionClick on the ""Edit"" link of address under shipping address sectionEdit shipping address page should be displayedModify any fields of the shipping address(Ex: Street address) and click on  ""SAVE THIS ADDRESS"" buttonThe green tick mark should be displayed for all the fields and the address  should be savedVerify whether the modified address is displayedThe modified shipping address should be reflected under ""SHIPPING  ADDRESSES"" section"
25,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on the link ""ADDRESS BOOK""The Address book screen should be displayed with the below sections:     * BILLING ADDRESSES     * SHIPPING ADDRESSESClick on the ""Delete"" link of address under shipping address sectionThe address should be deleted from the ""SHIPPING ADDRESSES"" section and the  message ""Address Deleted"" should be displayed"
26,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedLogin into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on ""ORDER HISTORY"" link in My account pageThe Order history page should be displayedVerify whether the previous orders are listed with the below details:     * Order number     * Date     * Items ordered      * Total price     * the image of the product and     * ""ORDER DETAILS"" buttonThe previous orders should be displayed with the mentioned order details.   Note :  Maximum 3 orders should be displayed on Order History page, rest  should be displayed after clicking on ""Show all orders"".Click on the ""ORDER DETAILS"" button to view more details about that  particular orderThe order details screen should be displayed with more detailsVerify the below mentioned order details are displayed correctly:     * Order number     * Date     * Items ordered     * Shipping     * Taxes     * Total Price The order details should be displayed correctly Verify the order details displayed under the different sections: SHIPPING  INFO BILLING INFO ITEM SUMMARYThe correct details should be displayed in all the sections.  Note :- In IPad, The ""Shipping Info"" and ""Item Summary"" sections are  overlapping with the border in ""Order Details"" page. This is an expected  result as it is by design (VFDP-12731). So don't raise any defect for this."
27,"Connect to the ""lee"" site using the URL (qa.lee.com)The site should be connected and the Homepage should be displayedClick on ""My Account link""User should land on Register/Log in page.Verify placeholder for ""Order number"" and ""Email Address"" text box in  ""Order Status"" section. Placeholder for ""Order number"" and ""Email Address"" text box in ""Order  Status"" section should be displayed.Login into the site with proper credentialsUser should be logged into site and navigated to ""MYACCOUNT: PROFILE""Click on ""ORDER HISTORY"" link in My account pageThe Order history page should be displayed with the list of ordersGo to the bottom of the page and click on the link ""Back To Top"" linkIt should be navigated to top of the Order History pageGo to the bottom of the page and click on the button ""SHOW ALL ORDERS""All the orders placed previously to till date should be displayedGo to the bottom of the page and click on the link ""Back To Top"" linkIt should be navigated to top of the Order History pageClick on the ""ORDER DETAILS"" button to view more details about that  particular orderThe order details screen should be displayed with more detailsClick on ""Back to Order History"" linkThe Order history page should be displayed with the list of orders"
